city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	Haunted Places Date	wiki_date	Final Date	Parsed Year	Final Year	Year Match	Wiki Year	Wiki Verified	Keep Entry
Orange County	United States	There are several ghosts and ghost stories. The one that sticks out is the one about (the ghost in the closet) People have rented this room and opened a closet door only to find a mans body hanging by the neck. This is a man who committed suicide more than 50 years ago .	Olive Hotel	California	CA	-117.9257189	33.6943229	-117.8311428	33.7174708	2050-02-26		2050-02-26		1988	False	1988	True	True
Oxnard	United States	Lamps would be on after the residents had turned them off in the morning, reports of a glass slowly edged its way into the sink and shattered as if someone pushed it. Often times while there alone the scent of lavender would waft passed our noses for 2 seconds. It is a rumor that the place is built a top a cemetery that was moved down the street; only the bodies are rumored to still be in the ground.	Los Arbolitos Apartments	California	CA	-119.179603	34.226913	-119.1770516	34.1975048	2025-02-26		2025-02-26		1962	False	1962	True	True
Oxnard	United States	Wal-Mart - the toy department of Wal-Mart is haunted by the ghost of a 7- 9 year old Mexican American girl, wearing a blue dress, with two pig tail braids, some say she looks to have been from the fifties or late sixties. Workers at night have heard and seen balls bouncing around by themselves, or cold spats. The girl herself has been seen by a number of people who say sometimes she is seen in a full apparition form (solid) or at times misty with half body visible. The ghost is playful often giggling, and smiling to workers who close up at night and come across her. Before Wal-Mart was erected it was all field and from elders around town the little girl may have been the victim of an accident since at night it was fairly treacherous to pass because it was pitch black and a number of people have been killed in accidents or, victims of random homicides. the whole complex where Wal-Mart is located (the rose shopping center) may in fact be haunted because of all that has happened over the years.	Rose Shopping Center	California	CA	-119.1615137	34.22110250000001	-119.1770516	34.1975048	2025-07-09		2025-07-09		1997	False	1997	True	True
Oxnard	United States	Santa H was established in 1901. there have been many reports of numerous hauntings. nuns used to live on the premises and there have been a number a reports of people seeing a hooded figure in the hallways floating. there have also been voices and chanting coming from the old chapel that is no longer used. the most popular ghost at Santa Clara is named Joey. Joey was a student at the school in the early 50s, when he was killed in a car accident on his way to a basketball game. there have been several reports from teachers and students of hearing a basketball in the gym late at night and locker doors slamming after the room has been locked up.	Santa Clara High School	California	CA	-119.178386	34.178567	-119.1770516	34.1975048	1901-01-01		1901-01-01	1901.0	1901.0	True		False	True
Pacifica	United States	Update: Now Closed down - When the place is empty you can hear font steps, things get moved around. Workers report being chased out by something.	Eaview twin theaters	California	CA	-118.1138165	33.7597717	-122.4869194	37.6138253	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Palos Verdes	United States	(3 miles S. of Redondo Beach.) Apparitions of dead skin divers, odd traveling lights, voices.	Rocky Point	California	CA	-118.4261788	33.7751625	-118.3870173	33.7444613	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Panorama City	United States	There is a cold spot in the lobby by the cashier. In the restroom you can here a little boy crying.	Rose's Beauty Salon	California	CA	-118.4665967	34.2217719	-118.442425	34.227617	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Pomona	United States	When it is in the night you could hear the wind and you suddenly feel like someone is watching and its a shape of a girl with red eyes.	Ganesha High	California	CA	-117.79038	34.06901	-117.7499909	34.055103	2025-01-01	0150-02-26			1995	False	1995	True	True
Pasadena	United States	Old Hotel - On Lake St. where it ends near the mountains of Angeles Crest, there use to be a old hotel on the mountain, people have numerous things around the old ruins and around Echo mountain in Angeles Crest, where the hotel use to be.	Angeles Crest	California	CA	-118.1898852	34.2382916	-118.1445155	34.1477849	2025-01-01	2025-02-02	2025-02-02		Unknown	False	Unknown	True	True
Pasadena	United States	A murder has occurred there, if you look carefully you can see a woman and her husband either dancing or fighting. Also at the front yard a girl has been seen about the age of 2 or 3 running around with a doll in her hand.	the bridge of Fair Oaks Exit	California	CA	-118.150457	34.1298026	-118.1445155	34.1477849	2025-02-02		2025-02-02		2020	False	2020	True	True
Pasadena	United States	There have been door knobs that turned when no one was in the hall, shadows passing under the doors, footsteps heard, faucets turned on in some apartments, heavy perfume smells, chains rattling. Some apartments are more haunted than others.	The Castle Green	California	CA	-118.1490803	34.1439444	-118.1445155	34.1477849	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Pasadena	United States	Strange noises, and people following you can be heard there is a haunted house on the hills to and a mental hospital	haunted forest	California	CA	-118.1274515	34.2058442	-118.1445155	34.1477849	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Pasadena	United States	nestled in the hills overlooking the Colorado bridge ( suicide bridge ) a old run down mansion zigzagged with caution tape and broken and boarded up windows reveals a lurky layer of ghost / ghost of wild animals and even voices	The haunted mansion	California	CA	-118.1490803	34.1439444	-118.1445155	34.1477849	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Weston	United States	Walters Hall - horrible feelings of fear and dread have been reported.	Regis College	Massachusetts	MA	-71.3076196	42.3502721	-71.3031132	42.3667625	2025-01-01	1877-01-01	1877-01-01		1877.0	False	1877	True	True
Whitman	United States	In the early 1900's every Halloween for 5yrs straight the girl scouts had a Halloween party sleepover in first cabin from where the trail begins, with the same supervisor.. on the 5th yr the girls went into the woods to have their Halloween sleepover and the next morning none of them came out when their parents went to pick them up! Ever since then, on Halloween there has been sightings of these 5 little girls in that same cabin. People have reported seeing the 5 little girls with their pajamas on dancing around while holding hands in a circle.. others have reported seeing green smoke coming from under the cabin door, and after opening it seeing the supervisor rocking back and forth staring at the girls with a smile on her face and a bloody knife in her right hand.. nobody knows why the little girls and supervisor never came out of the woods that day.	Brooks Plymouth Street Trail leading into the woods	Massachusetts	MA			-70.935599	42.0806564	1900-01-01		1900-01-01	1900.0	1900.0	True		False	True
Wilbraham	United States	This 170 year old home is located on a lonely, unlit country road. It’s haunted by several ghost, including a farmer, young boy and two females. Many visitors have experienced ghostly encounters here.	The Bishop House	Massachusetts	MA			-72.431586	42.1237206	0170-02-26				Unknown	False	Unknown	True	True
Winchendon	United States	"Old Cemetery within - It is said that if you drive your car into the old cemetery and shine your back lights on a certain tree that you can see ""Willy"", a ghost, hanging from a long branch. He is said to be a very angry ghost."	Lake Dennison Camp Grounds	Massachusetts	MA	-72.083604	42.6394506	-72.0439529	42.6871009	2025-01-01	0320-02-26			1863	False	1863	True	True
Winchester	United States	About 50 years ago there were some teens out at the park hanging out. Obviously there was a murderer passing by and stopped to kill one of the teens. Now if you go on a certain night, you can hear screaming of the teen. There have been no sightings known.	Stone Wall Park	Massachusetts	MA	-71.184349	42.4987674	-71.1369959	42.452303	2050-02-26		2050-02-26		1972	False	1972	True	True
Winthrop	United States	Haunted by a ghost called Willie who died in a cannon accident.	Fort Banks	Massachusetts	MA	-70.980375	42.3854349	-70.98113339999999	42.3778173	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Woburn	United States	A horsefarm which closed down in the late 1990s due to chemicals and unsafe drinking water. The main building burnt down in the early 2000s, and the family house was recently demolished. The only things that remain are the big trailers, and the smaller house. There is a playground in the field that's terribly overgrown. Many report sightings of a white figure roaming on either sides of the dirt road leading to the farm. Strange noises are heard, as well as sightings of an abandoned ice cream truck in the woods.	Winning Farm	Massachusetts	MA	-71.12477799999999	42.506723	-71.1522765	42.4792618	2025-01-01	2025-01-01	2025-01-01		1945	False	1945	True	True
Woburn	United States	Reports of cries for help in the bathroom in the old building of a kid who died in the that room. People reported that they see his ghost and hear him moaning. - November 2003 update/correction: It was a girl that committed suicide in the downstairs bathroom in 7 building. It's rumored that there are still bloodstains on the walls that maintenance couldn't get out. So it’s permanently locked. Supposedly people still hear her in there.	Woburn High School	Massachusetts	MA	-71.14410889999999	42.4838387	-71.1522765	42.4792618	2003-01-01		2003-01-01	2003.0	2003.0	True		False	True
Worcester	United States	Has blood stains on the walls and now remains all boarded up. People have supposedly heard the screams of the patients who died there. - February 2007 Update: Worcester State is heavily patrolled by Worcester Police. Always get permission.	The Old Worcester State Hospital	Massachusetts	MA	-71.77212999999999	42.27791	-71.8022934	42.2625932	2007-02-01		2007-02-01	2007.0	2007.0	True		False	True
Pasadena	United States	Around midnight a lady wearing a white wedding dress was seen walking towards visitors in the parking lot then disappears.	Rose Bowl parking lot	California	CA	-118.1676462	34.1613284	-118.1445155	34.1477849	2025-01-01	2025-01-01	2025-01-01		1918	False	1918	True	True
Pasadena	United States	Was once a College of the Performing Arts, and it has been reputedly haunted by the benevolent spirit of its founder, Gilmore Brown. Long after his death, and when the college was still operating; the elevator in the classroom tower building would often stop without command on the floor where Mr. Brown's office was located. Many actors and technicians have felt a spirit watching the proceedings and one evening.	The Historic State Landmark Theater	California	CA	-118.1609434	34.1516331	-118.1445155	34.1477849	2025-01-01	0116-02-26			1940	False	1940	True	True
Paso Robles	United States	Adelaide cemetery - it's been said that a young woman walks the cemetery looking for her children. All of them died after first settling in the area. Her husband then died later. Supposedly every Friday night around midnight a glowing figure walks the cemetery crying out for her child, and after about 15 minutes vanishes into the darkness.	Adelaide	California	CA	-120.6869026	35.6422375	-120.6545022	35.6368759	2025-02-28		2025-02-28		1836	False	1836	True	True
Paso Robles	United States	The original Paso Robles Inn caught on fire many years ago, the date is unknown to me. Because there was no 911 then, one male resident stayed behind. From a telephone inside the Inn, he dialed every room to make sure everyone got out. He ended up dying from a heart attack while still warning other customers. The new Inn was built using some of the original bricks. It is said that that in one room, a ghost calls 9-1-1. It was thought of as a prank at first but when the calls were traced, there were all traced back to this one room. No one had checked into the room and it was locked. It is believed that the resident is still tying to save others from the fire, not knowing that everyone got out except him.	Paso Robles Inn	California	CA	-120.69206	35.6255535	-120.6545022	35.6368759	0911-02-26				2020	False	2020	True	True
Pico Rivera	United States	In room 9, reports of an apparition of a boy doing school work, believed to be a boy that died in a horrible car accident.	St. Hillary School	California	CA	-118.0847504	33.9944382	-118.096735	33.9830688	2025-02-09		2025-02-09		Unknown	False	Unknown	True	True
Pittsburg	United States	"Reports of 3 spirits here. A young girl with long blond hair, a woman with long brown hair, and a male guessed to be about 5'10"". Also heard, a faint/deep voice when he is around. Lights on in the middle of the night, the alarm can seldom be set)reset at night, doors open/close, noises are frequently heard (voices, footsteps, doors, other movement), things get moved/fall over, and the local P.D. will not enter the building."	Old Riverside Elementary (unused site)	California	CA			-121.8846806	38.0279762	2025-02-03		2025-02-03		Unknown	False	Unknown	True	True
Placentia	United States	in the park the girls bathroom is haunted by a girl who was raped here and the killer has never been found still on this day every afternoon the girls bathroom will be doing strange things like lights turning off and on when no one is around and screaming.	Crook Park	California	CA	-117.8540373	33.90254669999999	-117.8627548	33.8710729	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Placerville	United States	the Cary House Hotel is one of Placervilles most haunted sites where visitors often come to investigate the supernatural. Room 212 is said to be the most haunted.	Cary House Hotel	California	CA	-120.8025664	38.7281519	-120.798546	38.7296252	0212-02-26				2020	False	2020	True	True
Placerville	United States	The ghost of a bearded man wearing a top hat has been spotted on the mezzanine of this old landmark. Employees summoned police several times over the last 15 years in attempts to rid the bldg of his presence. They say he resembles descriptions of the towns official hangman seen in old pictures taken nearly 150 years ago when the town was know as Hangtown. Most of the hangings took place on the property where the Chamber of Commerce Bldg is now located. 542 Main Street.	Chamber of Commerce Bldg.	California	CA	-120.7982111	38.7292309	-120.798546	38.7296252	0150-02-26				Unknown	False	Unknown	True	True
Placerville	United States	formerly posted as Empire Theater - May 2004 Update -The theater has since closed down.  There have been reports of ghosts walking up and down the isles, and in the bathroom, & cold spots.	Empire Antiques	California	CA	-120.8009393	38.7289806	-120.798546	38.7296252	2004-05-01		2004-05-01	2004.0	2004.0	True		False	True
Placerville	United States	The ghost of claim jumpers and outlaws, many sentenced to hang from an old oak tree here are said to harass patrons and employees of this small restaurant. Several drivers have reported seeing the apparitions while passing by in their automobiles. 305 Main Street	Hangman's Tree Cafe	California	CA	-120.8025055	38.7284055	-120.798546	38.7296252	0305-02-26				Unknown	False	Unknown	True	True
Pleasanton	United States	This building was constructed in the 1800's. A woman dressed in blue is reported walking around on the second floor of the building and the owner and his family claimed to have seen her too. She has written “Boo!Boo!” on the inside of the restroom mirror, every time it is replaced. A girl went into the basement to get boxes and was violently shoved from behind her when she turned around there was no one there. After hours when counting money, things have been moved, sodas move to opposite sides of the table. The license plates the line the ceiling move random ones not all of them just one or two. Strange things happen when the lights go out.	Gay 90's Pizza	California	CA	-121.876703	37.658414	-121.8746789	37.6624312	2025-01-01	2025-01-01	2025-01-01	1800.0	Unknown	False	Unknown	True	True
Pleasanton	United States	Most of the haunting happen in the bar area of this restaurant. The vintage light fixtures will go dim and then swing back and forth for a short period of time, then stop as abruptly as it started. A strong cold spot on the north edge of the dance floor. Most spooky however is when in the ladies room in a stall, a knocking will happen on the door when no one has entered. Also, in the mirror a gentleman with a decorated festive hat will be looking at you. When you turn to see if he is behind you he is gone. Employees have similar stories. The hotel has closed up tunnels under it that at one time connected to the local police department. The hotel was at one time a very active brothel.	Pleasanton Hotel	California	CA	-121.8748136	37.663977	-121.8746789	37.6624312	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Pomona	United States	Corner of Garey & Holt. St -  Multiple entities, footsteps, slamming doors, arguments, apparitions, physical phenomena such as potted trees whose tops touch the floor for a few minutes and then spring to original position. Whatever is there does definitely like to share the space with the living.	Charles Grill	California	CA			-117.7499909	34.055103	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Pomona	United States	in the band room there are 2 ghosts. One of them haunts the closet, when someone is changing by themselves they have a feeling of being watched. The other haunts the back (front) left door, when there is no wind at all the door either swings open or slams shut all of a sudden and sometimes it refuses to open even if you pull/push on it. - April Update: Located behind the school is an empty lot, which is what remains of Palomares Cemetery. Many believe this is why there are disturbances at the school. The only sign that the cemetery was there is a very small park (the size of a bathroom) and plaque located on the east side of the school.	Pomona High School	California	CA	-117.7401771	34.0858778	-117.7499909	34.055103	2025-02-02		2025-02-02		2002	False	2002	True	True
Port Costa	United States	October 2007 - Has been removed.	Port Costa School	California	CA	-122.1885733	38.0448072	-122.1833005	38.04630969999999	2007-01-01		2007-01-01	2007.0	2007.0	True		False	True
Port Hueneme	United States	"The Bard Mansion, which resides inside the Port Hueneme Navy Base was originally built in 1876 on Senator Thomas Bard's Estate named ""Berylwood."" In 1911, the enlarged second home was torn down to clear the site for the construction of the present Thomas Bard House. It's rumored by many that the mansion is haunted by the late Senator's wife, Mrs. Bard. Her figure can often be seen walking the grounds, perhaps making sure everything is in order."	Bard Mansion	California	CA	-119.1969548	34.1583169	-119.1951074	34.1477829	1876-01-01		1876-01-01	1876.0	1876.0	True		False	True
Porterville	United States	There was a white man killed by a few black men when the KKK was still at large. He was hung from a tree, his head buried beneath him. To this day, you still can hear fo`t steps, rocks being kicked, and laughter of what sounds like older men. Even a few say that scratches appear on their arms!	Ed Trays Hill	California	CA	-118.9747667	36.0727852	-119.0167679	36.06523	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Rancho Cucamonga	United States	Has been removed	Joseph Filippi Winery	California	CA	-117.5323013	34.1213949	-117.5931084	34.10639889999999	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Rancho Cucamonga	United States	The sycamore inn, now a great steak house along the old route 66, was established in 1848 but the original inn burned down and was rebuilt across the street. Apparitions of a man dressed in cowboy style clothes. www.thesycamoreinn.com	The Sycamore Inn	California	CA	-117.6234244	34.1056107	-117.5931084	34.10639889999999	1848-01-01		1848-01-01	1848.0	1848.0	True		False	True
Rancho Palos Verdes	United States	Spike is a vacant lot at the end of Lunada bay. It is surrounded by houses. But the lot remains vacant, even though they have tried to build on it several times. When you go near there you start to feel like you want to vomit. Also cars have been known to stop dead in front of the lot. Urban Legend has it that a teenager went crazy and killed his family with a axe. Also legend states that on certain nights you can hear screams and see a ghostly house through the thick fog. There used to be an iron gate that had sharp black spikes sticking out of it. However this was long ago and has since been dismantled. this is a local legend, kind of like the Vanderlip house.	Spike	California	CA	-117.5994453	33.64326680000001	-118.3870173	33.7444613	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Ravendale	United States	It is located off the main highway used by truckers. Legend states that a woman was murdered in one of the bathtubs. Howls and footsteps can be heard when no one is around. The whole building seems to creek too.	Secret Valley Inn	California	CA	-121.7377321	36.4819384	-120.3652226	40.798509	2025-01-01	2025-01-31	2025-01-31		2025	False	2025	True	True
Redlands	United States	The Fox Theatre is very haunted. The presence that resides there is sometimes violent. It's been boarded up for about 10 years and now it's is being renovated. The building it's connected to was once an opera house when Redlands was first founded. Maybe one of the jealous actresses is still wandering?	The Fox Theatre	California	CA	-117.1815252	34.054253	-117.1825381	34.0555693	2025-02-10		2025-02-10		1929	False	1929	True	True
Redlands	United States	Hillside Cemetery is a very old cemetery with interments dating back to the mid-late 1800's. Many people have reported strange happenings such as car horns honking by themselves, balls being thrown back over the walls after somebody has thrown them in.	Hillside Cemetery	California	CA	-117.1800897	34.0265867	-117.1825381	34.0555693	2025-01-01	2025-01-01	2025-01-01	1800.0	Unknown	False	Unknown	True	True
Redlands	United States	a large house with 100 stairs `outside and 900 stairs inside. it is said nuns haunt the place, it once was a convent. People live there today, unlucky for them they're not the only ones.	House of 1,000 Stairs	California	CA	-117.1738992	34.03790620000001	-117.1825381	34.0555693	0100-02-26				Unknown	False	Unknown	True	True
Redlands	United States	"September 2004 Update - reported as an Urban Myth - In the late 50's or early 60's, a little boy named Billy was hit by a school bus. He was immediately taken to the nurse's office where he died. As he was dying, he expressed his desire to get back to school. Legend says that if you knock on the nurse's door, he will knock back or you will hear him walking in the room. Sometimes he will want you to play with him on the playground, but if you refuse, he will pick on you. We hopped the fence and searched for the office. When we found it, we knocked, only to hear a very loud shuffling sound emanate from the room. Whether it was a ghost or custodian, we didn't care. We booked it back to the car and took a quick picture in front of the school sign that read, "" Welcome to Mariposa Elementary, Where All Our Children Grow."" - The police will be called if the neighbors see trespassers.-"	Mariposa Elementary	California	CA	-117.1334609	34.023025	-117.1825381	34.0555693	2004-01-01		2004-01-01	2004.0	2004.0	True		False	True
Redlands	United States	late at night during rainy nights on fourth St. there will be immense fog and you can see multiple transparent figures wandering, when the fog clears on figure of a woman remains surrounded by fog, walks towards the church then disappears.	sacred heart church/school	California	CA	-117.18246	34.0519	-117.1825381	34.0555693	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Redondo Beach	United States	There have been many sightings of a ghost named Jake in the High schools Auditorium, he died there in the 1940's. There are also footsteps that are supposed to be from Jake walking up the wall. There have been loud knocks on the walls when no one is on the other side of them, lights turning on and off, and sightings and sounds from a staircase leading up to the sound booth. Some other happenings in the auditorium are paper airplanes falling from the catwalk and landing directly center stage. Students experienced cold chills in one of the staircases leading up to the sound/light booth. Keys that had been lost several years before at some other high school had fallen from nowhere next to the owner of them at RUHS. Another guy has died in that auditorium about a year ago when he had a heart attack while visiting the bathroom. No known experiences have occurred in the men's bathroom yet except that his blood is still stained into the grommet of the tile.	Redondo Union High School	California	CA	-118.3840853	33.8471175	-118.3884078	33.8491816	1940-01-01		1940-01-01	1940.0	1940.0	True		False	True
Rialto	United States	After hours, the power has gone out in the store while neighboring businesses remain unaffected. Drop box doors have swung open by themselves and the sound of someone walking has been heard when no one is around. The specter even leaves footprints.	Blockbuster Video	California	CA	-117.397277	34.105393	-117.3703235	34.1064001	2025-01-01	1985-01-01	1985-01-01		1985.0	False	1985	True	True
Ridgecrest	United States	There are two ghosts in the lecture center. One man died when he fell off some scaffold and dropped 100 feet on his head during the building of the auditorium. The second man was an actor in a play by the school's drama club. A scene where the main character was shot was tragically ended when another member of the club put a live bullet in the prop gun for the play. Custodians in the building report lights being turned back on after several attempts to turn them off. And a seat on the left side has cold areas noticed by anyone who sits there. During plays where a scene is very sad, the left curtain blows when there is no draft.	Burroughs High School Lecture Center	California	CA	-117.6594539	35.6359364	-117.6708966	35.6224561	0100-02-26				1938	False	1938	True	True
Riverside	United States	Call light turning on in room after patient passed away. Heavy medication door closing by itself on station 3.Many reports by staff of seeing a ghostly figure of a man who killed himself years ago on station 3.	Alta Vista Convalescing	California	CA	-117.4400226	33.928201	-117.3961564	33.9533487	2025-02-03		2025-02-03		Unknown	False	Unknown	True	True
Riverside	United States	Just one block north of the Mission Inn at 3563 Main Street is an antiques store called At The Villa. It is housed in an old building circa 1890, which was the original mercantile for Riverside. Objects move on their own accord and sometimes disappear only to reappear later in a different spot. There is sometimes a strong scent of perfume. A lady who had a shop at this location died violently in a car jacking in the mid 1990's and some say that it is her spirit, although it is an old building. When asked about this the staff will usually laugh a bit and tell you of a personal experience.	At the Villa	California	CA	-117.437132	33.926153	-117.3961564	33.9533487	1990-01-01		1990-01-01	1890.0	1990.0	True		False	True
Riverside	United States	Catacombs - Before the old mission style buildings were a college campus, they housed an insane asylum. In the early 1900's through the 1950's mentally insane patients walked the halls of the 4 story building. Under the building was a network of catacombs that allowed hospital workers to enter and exit the hospital once all the doors were locked. It is rumored that sometimes bad patients were taken down into the catacombs to be tortured. The basement of the college now holds offices, but also is where the entrance to the catacombs are located. Throughout the campus there are entrances to the catacombs as well. At night, one can hear knocking on the door to the catacombs in the basement and will feel a very cold presence. At random times the secret entrances will be found open with freezing cold air coming out of them. Students have reported going into th e catacombs and seeing the spirits of the patients from the asylum walking through the catacombs.	California Baptist University	California	CA	-117.4255596	33.9284067	-117.3961564	33.9533487	1900-01-01		1900-01-01	1900.0	1900.0	True		False	True
Riverside	United States	"Many employees have reported seeing a ""lady in a white dress"" in the ride park as well as one employee being physically pushed inside the Big Top restaurant. Sightings also include a spirit standing on the balcony above the Plaza Cafe. This spirit reportedly flew across to the trees when the employee looked up at it. The last experience was inside the arcade after hours. Reportedly an unseen spirit opened and closed the door by prize counter several times when there was no one around. This incident was heard and not seen. Strangely enough all sightings and experiences are by males and the spirits are reportedly female. No actual harm was done by the spirits. This area of land from the Tyler Mall to La Sierra Blvd was an old Indian Burial Ground. - In addition to what you already know about the park, a former employee also had an experience in the railroad trac ks tunnel in the park. After hours when all the guests are gone the cafe would close. when any of the employees would be sent to toss away the trash in the far end of the parking lot, they would have to go in pairs. Reason being is because when you cross the tracks near the cafe you can see the silhouettes of Indian women walking around. Sometimes you can also see what appears to be a fire burning in the far corner, but when you go to check it out it dims away."	Castle Park	California	CA	-117.4670995	33.90284430000001	-117.3961564	33.9533487	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Riverside	United States	The Avilas House - The Avilas House is an old mansion located in Indian Hills. At night, there have been sightings of an old woman walking the hallways and knocking on the door to the laundry room.	Indian Hills	California	CA	-117.458549	33.986162	-117.3961564	33.9533487	2025-01-01	2025-01-01	2025-01-01		Unknown	False	Unknown	True	True
Riverside	United States	"The Mission Inn is an older, semi-spooky (yet extremely classy and pricey) hotel. While guests of the Inn may enjoy modern amenities such as an outdoor Olympic sized pool and fitness center, the catacombs that run underneath the building heading in the direction of Mt. Rubidoux are now closed. As one current employee of the Inn remembers, an older gentleman was once given a room in one of the upper stories of the building, as there were no lower floor rooms available due to construction. The next morning, when the gentleman was asked if his accommodations were adequate, he replied, ""All was fine, especially the woman singing beautifully in the next room."" He was the only tenant on that floor. This place is haunted by the Millers. The Mission Inn Hotel was originally a 12 room cottage where the pool now sits. The existing structure of the hotel was begun in 1900 and completed in a pproximately 1947. Owned first by C.C. Miller and sold to his son, Frank, in 1900. Frank's sister, Alice, managed the hotel until her death in the late '40s."	Mission Inn	California	CA	-117.3763701	33.9841225	-117.3961564	33.9533487	1900-01-01	2025-01-01	1900-01-01	1900.0	1900.0	True		False	True
Riverside	United States	Bridal/Honeymoon Suite -  Across from Alice Miller's room. Multiple reports of being pushed down the spiral staircase of this two-level room. In 1993, a couple on their honeymoon night checked out of the room just after midnight after reportedly being pushed on the stairwell.	Mission Inn	California	CA	-117.3763701	33.9841225	-117.3961564	33.9533487	1993-01-01	2025-01-01	1993-01-01	1993.0	1993.0	True		False	True
Riverside	United States	Catacombs - Once an underground museum, this area was closed to the public when the hotel was re-opened in 1992. There was an enormous amount of activity in the area of the foyer during the years immediately following the hotel's re-opening. The hotel's comptroller at re-opening resigned after seeing someone in this area late one evening.	Mission Inn	California	CA	-117.3763701	33.9841225	-117.3961564	33.9533487	1992-01-01	2025-01-01	1992-01-01	1992.0	1992.0	True		False	True
Riverside	United States	Frank Miller's Room -  4th floor, north east corner. One of the only rooms not restored during the closure of the hotel from 1985 to 1992. Possibly now a banquet room at the end of Author's Row. Strong presence of Mr. Miller.	Mission Inn	California	CA	-117.3763701	33.9841225	-117.3961564	33.9533487	1985-01-01	2025-01-01	1985-01-01	1985.0	1985.0	True		False	True
Riverside	United States	Rotunda -  limited sightings. Area was closed to public after re-opening but has since opened to retail space around 1997 or 1998.	Mission Inn	California	CA	-117.3763701	33.9841225	-117.3961564	33.9533487	1997-01-01	2025-01-01	1997-01-01	1997.0	1997.0	True		False	True
Riverside	United States	Palm Desert High School - It is reported of a young girl walking around at night around the pool. it was said that she drowned in 1990 and has never left her school hoping to one day swim on a team again.	Palm Desert	California	CA	-116.3744556	33.7222445	-117.3961564	33.9533487	1990-01-01		1990-01-01	1990.0	1990.0	True		False	True
Riverside	United States	"This cemetery is an extremely old burial site that is now owned by Riverside Parks and Recreation. The grounds are run down and not well kept, complete with fallen headstones that lie haphazardly amongst the final resting places of the dead. Residents of the area (breathing, flesh and blood residents, that is) live a mere 50 feet from the graveyard! Add to this creepy scene the irony of a ""One Way"" sign situated across from the cemetery that glows eerily without the aid of streetlights."	Riverside Cemetery	California	CA	-117.2798923	33.8873964	-117.3961564	33.9533487	2050-02-26	2000-01-01	2050-02-26		2000	False	2000	True	True
Riverside	United States	"Custodial and late-night staff have complained of feeling cold drafts and ""spots"" at nights. Some doors have been said to close unexpectedly, and plates and silverware have been found to be missing or re-arranged. In spring 2006, a student unfortunately hung himself in the Lothian dormitory late at night.. there have been stories of people seeing or feeling his presence."	UCR Lothian Dining services	California	CA	-117.3280644	33.9737055	-117.3961564	33.9533487	2006-01-01		2006-01-01	2006.0	2006.0	True		False	True
Riverside	United States	Most of the very large Rivera Library was remodeled during 2000-2001. Parts of it were left untouched however, upon entering the main entrance turn left, it will be clear which parts are older. It is said a female ghost haunts these parts, on the first and second floors, mainly at night and after patrons have left and in the early morning hours. Janitors working after midnight have reported sounds and cold spots. Short lasting obnoxious odors have been smelled in the basement. A great time to go would be during finals week as the library is open until 2am.	University of California Rivera Library	California	CA	-117.3274004	33.972416	-117.3961564	33.9533487	2000-01-01		2000-01-01	2000.0	2000.0	True		False	True
Rohnert Park	United States	When you park your car at the bottom of the hill and put it in neutral you go backwards up the hill.	Gravity Hill	California	CA	-122.6194594	38.3425314	-122.7010984	38.3396367	2025-01-01	2003-01-01	2003-01-01		2003.0	False	2003	True	True
Rosemead	United States	A student who shot himself in the parking lot is still seen at night in the front parking lot. also student have heard people crying in the restrooms of the 400 and 600 buildings.	Don Bosco Tech	California	CA	-118.085765	34.0422232	-118.072846	34.0805651	0400-02-26				1946	False	1946	True	True
Rosemead	United States	"Teachers been knowing that the 500 building is haunted. Sometimes the janitor have been touch on the shoulder while cleaning up. Many teachers told the student to not hang around there, but they always say ""its a tradition for the 8th graders"" students from 2001 reported that they are being watch at all times."	Richard Garvey Intermediate	California	CA	-118.102915	34.0617405	-118.072846	34.0805651	2001-01-01		2001-01-01	2001.0	2001.0	True		False	True
Sacramento	United States	"The original owner and builder of Sacramento's oldest ice skating rink still makes his rounds at night. ""Pops"" Kerth, father of Sacramento City Councilman, and mayoral hopeful, Rob Kerth, wanders the dark, cold rink at 4 a.m., just as he always did, making certain all is well."	Iceland	California	CA	-121.459891	38.6056001	-121.4943996	38.5815719	2025-02-26		2025-02-26		2022	False	2022	True	True
